
### SHIELD_REGEN_FRACTION 0.014 · tier 2 · 200 episodes

| knife-fights | pursuit | 1 | 43.7% | 10.63/s | 0.53/s | 5.0% |  0.53/s |  3.68/s |  0.00/s |  4.20/s | 1.0% | 0.0% | 0.0% | 0.36 |
| knife-fights | pursuit | 2 | 61.6% | 12.11/s | 2.73/s | 22.6% |  5.44/s |  7.39/s |  0.16/s | 12.99/s | 75.0% | 19.0% | 6.0% | 0.06 |
| knife-fights | pursuit | 3 | 62.6% | 10.19/s | 2.48/s | 24.3% |  7.37/s | 10.77/s |  0.46/s | 18.61/s | 92.5% | 51.5% | 32.5% | 0.07 |
| knife-fights | pursuit | 4 | 63.6% | 9.42/s | 2.45/s | 26.1% |  9.78/s | 11.82/s |  0.53/s | 22.13/s | 96.0% | 58.5% | 47.5% | 0.06 |
| runs | pursuit | 1 | 31.7% | 10.66/s | 2.84/s | 26.7% |  2.85/s |  0.00/s |  0.00/s |  2.85/s | 7.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 31.3% | 12.22/s | 2.91/s | 23.8% |  5.82/s |  0.00/s |  0.00/s |  5.82/s | 21.5% | 0.5% | 0.5% | 0.00 |
| runs | pursuit | 3 | 30.6% | 10.26/s | 2.37/s | 23.1% |  7.10/s |  0.00/s |  0.00/s |  7.10/s | 29.0% | 3.5% | 1.5% | 0.00 |
| runs | pursuit | 4 | 31.1% | 9.45/s | 2.17/s | 22.9% |  8.67/s |  0.00/s |  0.00/s |  8.67/s | 41.0% | 5.5% | 4.5% | 0.01 |

### SHIELD_REGEN_FRACTION 0.012 · tier 2 · 200 episodes

| knife-fights | pursuit | 1 | 43.7% | 10.63/s | 0.53/s | 5.0% |  0.53/s |  3.68/s |  0.00/s |  4.20/s | 2.5% | 0.0% | 0.0% | 0.36 |
| knife-fights | pursuit | 2 | 61.6% | 12.11/s | 2.73/s | 22.5% |  5.44/s |  7.39/s |  0.16/s | 12.99/s | 76.5% | 19.0% | 6.0% | 0.06 |
| knife-fights | pursuit | 3 | 62.6% | 10.18/s | 2.48/s | 24.4% |  7.39/s | 10.87/s |  0.47/s | 18.73/s | 94.0% | 52.0% | 35.5% | 0.07 |
| knife-fights | pursuit | 4 | 63.4% | 9.40/s | 2.46/s | 26.1% |  9.79/s | 11.95/s |  0.54/s | 22.28/s | 96.5% | 60.0% | 50.5% | 0.06 |
| runs | pursuit | 1 | 31.7% | 10.66/s | 2.84/s | 26.7% |  2.85/s |  0.00/s |  0.00/s |  2.85/s | 7.5% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 31.3% | 12.22/s | 2.91/s | 23.8% |  5.82/s |  0.00/s |  0.00/s |  5.82/s | 25.5% | 0.5% | 0.5% | 0.00 |
| runs | pursuit | 3 | 30.6% | 10.25/s | 2.36/s | 23.0% |  7.09/s |  0.00/s |  0.00/s |  7.09/s | 32.0% | 3.5% | 1.5% | 0.00 |
| runs | pursuit | 4 | 31.1% | 9.45/s | 2.16/s | 22.9% |  8.66/s |  0.00/s |  0.00/s |  8.66/s | 45.0% | 6.5% | 4.5% | 0.01 |

### SHIELD_REGEN_FRACTION 0.010 · tier 2 · 200 episodes

| knife-fights | pursuit | 1 | 43.7% | 10.63/s | 0.53/s | 5.0% |  0.53/s |  3.68/s |  0.00/s |  4.20/s | 3.5% | 0.0% | 0.0% | 0.36 |
| knife-fights | pursuit | 2 | 61.6% | 12.10/s | 2.73/s | 22.6% |  5.44/s |  7.43/s |  0.16/s | 13.03/s | 80.0% | 20.5% | 7.5% | 0.06 |
| knife-fights | pursuit | 3 | 62.5% | 10.18/s | 2.48/s | 24.3% |  7.39/s | 10.79/s |  0.47/s | 18.65/s | 96.0% | 53.5% | 37.5% | 0.07 |
| knife-fights | pursuit | 4 | 63.3% | 9.39/s | 2.45/s | 26.1% |  9.77/s | 11.94/s |  0.51/s | 22.22/s | 97.5% | 61.5% | 51.5% | 0.06 |
| runs | pursuit | 1 | 31.7% | 10.66/s | 2.84/s | 26.7% |  2.85/s |  0.00/s |  0.00/s |  2.85/s | 7.5% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 31.3% | 12.22/s | 2.91/s | 23.8% |  5.82/s |  0.00/s |  0.00/s |  5.82/s | 26.5% | 0.5% | 0.5% | 0.00 |
| runs | pursuit | 3 | 30.6% | 10.25/s | 2.36/s | 23.0% |  7.09/s |  0.00/s |  0.00/s |  7.09/s | 34.5% | 4.0% | 3.0% | 0.00 |
| runs | pursuit | 4 | 31.0% | 9.45/s | 2.16/s | 22.9% |  8.65/s |  0.00/s |  0.00/s |  8.65/s | 48.0% | 7.5% | 5.0% | 0.01 |
