
### SHIELD_REGEN_FRACTION 0.035 · tier 2 · 100 episodes

| knife-fights | pursuit | 1 | 46.4% | 10.66/s | 0.61/s | 5.8% |  0.61/s |  4.06/s |  0.00/s |  4.67/s | 1.0% | 0.0% | 0.0% | 0.37 |
| knife-fights | pursuit | 2 | 63.0% | 12.13/s | 2.78/s | 22.9% |  5.54/s |  7.31/s |  0.10/s | 12.96/s | 53.0% | 11.0% | 1.0% | 0.04 |
| knife-fights | pursuit | 3 | 64.0% | 10.19/s | 2.43/s | 23.8% |  7.17/s | 10.68/s |  0.42/s | 18.27/s | 81.0% | 28.0% | 10.0% | 0.12 |
| knife-fights | pursuit | 4 | 64.5% | 9.45/s | 2.39/s | 25.3% |  9.52/s | 11.24/s |  0.48/s | 21.24/s | 88.0% | 35.0% | 20.0% | 0.05 |
| runs | pursuit | 1 | 30.4% | 10.75/s | 2.71/s | 25.2% |  2.71/s |  0.00/s |  0.00/s |  2.71/s | 1.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 28.8% | 12.23/s | 2.67/s | 21.8% |  5.33/s |  0.00/s |  0.00/s |  5.33/s | 4.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 3 | 31.5% | 10.23/s | 2.47/s | 24.1% |  7.41/s |  0.00/s |  0.00/s |  7.41/s | 12.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 4 | 30.8% | 9.44/s | 2.07/s | 21.9% |  8.29/s |  0.00/s |  0.00/s |  8.29/s | 19.0% | 1.0% | 1.0% | 0.00 |

### SHIELD_REGEN_FRACTION 0.028 · tier 2 · 100 episodes

| knife-fights | pursuit | 1 | 46.4% | 10.66/s | 0.61/s | 5.8% |  0.61/s |  4.06/s |  0.00/s |  4.67/s | 1.0% | 0.0% | 0.0% | 0.37 |
| knife-fights | pursuit | 2 | 62.9% | 12.13/s | 2.78/s | 22.9% |  5.54/s |  7.28/s |  0.10/s | 12.92/s | 61.0% | 14.0% | 2.0% | 0.04 |
| knife-fights | pursuit | 3 | 64.0% | 10.19/s | 2.44/s | 23.9% |  7.19/s | 10.71/s |  0.43/s | 18.32/s | 83.0% | 34.0% | 13.0% | 0.12 |
| knife-fights | pursuit | 4 | 64.1% | 9.44/s | 2.38/s | 25.2% |  9.49/s | 11.36/s |  0.50/s | 21.35/s | 95.0% | 39.0% | 28.0% | 0.04 |
| runs | pursuit | 1 | 30.4% | 10.75/s | 2.71/s | 25.2% |  2.71/s |  0.00/s |  0.00/s |  2.71/s | 2.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 2 | 28.8% | 12.23/s | 2.67/s | 21.8% |  5.33/s |  0.00/s |  0.00/s |  5.33/s | 6.0% | 0.0% | 0.0% | 0.00 |
| runs | pursuit | 3 | 31.5% | 10.23/s | 2.47/s | 24.1% |  7.41/s |  0.00/s |  0.00/s |  7.41/s | 22.0% | 0.0% | 0.0% | 0.00 |
